FOLD_WIDTH,USE_T,USE_SN,USE_FINAL,DetectionRate,TP,FP,TN,FN
2,1,0,0,0.1732,13205,12007,11767,63021
2,0,1,0,0.6361,48346,637,23357,27660
2,0,0,1,0.8259,62945,324,23460,13271
4,1,0,0,0.2982,22641,21157,2919,53283
4,0,1,0,0.9150,69705,665,23155,6475
4,0,0,1,0.8260,62824,339,23602,13235
6,1,0,0,0.3159,24104,21887,1821,52188
6,0,1,0,0.9444,71900,676,23190,4234
6,0,0,1,0.8243,62800,307,23509,13384
8,1,0,0,0.3206,24312,22863,1312,51513
8,0,1,0,0.9598,72843,633,23474,3050
8,0,0,1,0.8241,62657,323,23646,13374
10,1,0,0,0.3260,24671,23255,1072,51002
10,0,1,0,0.9692,73768,627,23258,2347
10,0,0,1,0.8247,62828,334,23483,13355
12,1,0,0,0.3299,25098,23014,903,50985
12,0,1,0,0.9763,74263,644,23293,1800
12,0,0,1,0.8241,62807,324,23465,13404
14,1,0,0,0.3304,25118,23303,677,50902
14,0,1,0,0.9797,74425,620,23412,1543
14,0,0,1,0.8232,62730,329,23472,13469
16,1,0,0,0.3285,24963,23427,587,51023
16,0,1,0,0.9827,74186,683,23828,1303
16,0,0,1,0.8234,62601,322,23647,13430
18,1,0,0,0.3367,25605,23386,577,50432
18,0,1,0,0.9848,74814,620,23408,1158
18,0,0,1,0.8219,62342,318,23827,13513
20,1,0,0,0.3337,25301,23720,462,50517
20,0,1,0,0.9874,75133,643,23269,955
20,0,0,1,0.8227,62360,296,23901,13443
22,1,0,0,0.3331,25285,23678,413,50624
22,0,1,0,0.9896,75638,681,22884,797
22,0,0,1,0.8238,62702,338,23553,13407
24,1,0,0,0.3371,25626,23611,366,50397
24,0,1,0,0.9893,75122,682,23386,810
24,0,0,1,0.8253,62868,336,23489,13307
26,1,0,0,0.3385,25756,23633,285,50326
26,0,1,0,0.9913,75437,623,23275,665
26,0,0,1,0.8241,62725,323,23563,13389
28,1,0,0,0.3387,25815,23470,306,50409
28,0,1,0,0.9920,74965,630,23800,605
28,0,0,1,0.8242,62674,319,23637,13370
30,1,0,0,0.3377,25694,23621,300,50385
30,0,1,0,0.9930,75857,633,22976,534
30,0,0,1,0.8236,62639,310,23635,13416
32,1,0,0,0.3369,25614,23723,241,50422
32,0,1,0,0.9940,75297,633,23615,455
32,0,0,1,0.8231,62532,321,23712,13435
