FOLD_WIDTH, USE_M, USE_MP, USE_FINAL, DetectionRate, TP, FP, TN, FN
2, 1, 0, 0, 0.2304, 1891, 543, 1251, 6315
2, 0, 1, 0, 0.6442, 5239, 383, 1485, 2893
2, 0, 0, 1, 0.8539, 6941, 741, 1130, 1188
2, 1, 0, 1, 0.8562, 7004, 1259, 561, 1176
4, 1, 0, 0, 0.4065, 3311, 1097, 758, 4834
4, 0, 1, 0, 0.9179, 7531, 636, 1159, 674
4, 0, 0, 1, 0.8550, 6993, 730, 1091, 1186
4, 1, 0, 1, 0.8596, 7092, 1633, 117, 1158
6, 1, 0, 0, 0.4352, 3567, 1066, 738, 4629
6, 0, 1, 0, 0.9503, 7796, 613, 1183, 408
6, 0, 0, 1, 0.8505, 6962, 711, 1103, 1224
6, 1, 0, 1, 0.8525, 6938, 1769, 93, 1200
8, 1, 0, 0, 0.4479, 3655, 1134, 706, 4505
8, 0, 1, 0, 0.9595, 7820, 676, 1174, 330
8, 0, 0, 1, 0.8559, 6973, 735, 1118, 1174
8, 1, 0, 1, 0.8506, 6952, 1781, 46, 1221
10, 1, 0, 0, 0.4518, 3663, 1171, 721, 4445
10, 0, 1, 0, 0.9725, 7934, 702, 1140, 224
10, 0, 0, 1, 0.8553, 6944, 714, 1167, 1175
10, 1, 0, 1, 0.8554, 6972, 1806, 43, 1179
12, 1, 0, 0, 0.4530, 3712, 1126, 680, 4482
12, 0, 1, 0, 0.9749, 7939, 691, 1166, 204
12, 0, 0, 1, 0.8521, 6960, 753, 1079, 1208
12, 1, 0, 1, 0.8535, 6987, 1785, 29, 1199
14, 1, 0, 0, 0.4619, 3801, 1105, 666, 4428
14, 0, 1, 0, 0.9805, 8047, 692, 1101, 160
14, 0, 0, 1, 0.8544, 6966, 694, 1153, 1187
14, 1, 0, 1, 0.8471, 6914, 1815, 23, 1248
16, 1, 0, 0, 0.4558, 3729, 1120, 698, 4453
16, 0, 1, 0, 0.9777, 8055, 677, 1084, 184
16, 0, 0, 1, 0.8562, 7027, 695, 1098, 1180
16, 1, 0, 1, 0.8575, 7035, 1778, 18, 1169
18, 1, 0, 0, 0.4531, 3723, 1100, 683, 4494
18, 0, 1, 0, 0.9877, 8053, 702, 1145, 100
18, 0, 0, 1, 0.8542, 7050, 687, 1060, 1203
18, 1, 0, 1, 0.8506, 6956, 1797, 25, 1222
20, 1, 0, 0, 0.4700, 3827, 1168, 689, 4316
20, 0, 1, 0, 0.9873, 8070, 704, 1122, 104
20, 0, 0, 1, 0.8565, 6983, 721, 1126, 1170
20, 1, 0, 1, 0.8528, 6946, 1837, 18, 1199
22, 1, 0, 0, 0.4671, 3818, 1139, 688, 4355
22, 0, 1, 0, 0.9888, 8142, 668, 1098, 92
22, 0, 0, 1, 0.8567, 7059, 708, 1052, 1181
22, 1, 0, 1, 0.8551, 7065, 1728, 10, 1197
24, 1, 0, 0, 0.4630, 3763, 1206, 666, 4365
24, 0, 1, 0, 0.9898, 8089, 687, 1141, 83
24, 0, 0, 1, 0.8568, 7049, 688, 1085, 1178
24, 1, 0, 1, 0.8509, 6963, 1806, 11, 1220
26, 1, 0, 0, 0.4461, 3636, 1165, 684, 4515
26, 0, 1, 0, 0.9919, 8098, 699, 1137, 66
26, 0, 0, 1, 0.8531, 7014, 701, 1077, 1208
26, 1, 0, 1, 0.8515, 6975, 1801, 8, 1216
28, 1, 0, 0, 0.4720, 3872, 1144, 652, 4332
28, 0, 1, 0, 0.9916, 8147, 717, 1067, 69
28, 0, 0, 1, 0.8513, 6935, 718, 1136, 1211
28, 1, 0, 1, 0.8576, 7045, 1778, 7, 1170
30, 1, 0, 0, 0.4694, 3870, 1120, 636, 4374
30, 0, 1, 0, 0.9934, 8167, 691, 1088, 54
30, 0, 0, 1, 0.8556, 6951, 761, 1115, 1173
30, 1, 0, 1, 0.8574, 7046, 1781, 1, 1172
32, 1, 0, 0, 0.4598, 3766, 1199, 610, 4425
32, 0, 1, 0, 0.9955, 8171, 708, 1084, 37
32, 0, 0, 1, 0.8462, 6954, 716, 1066, 1264
32, 1, 0, 1, 0.8555, 7019, 1794, 1, 1186
